player_id,nombre,minutos,tirador_lejano_pts,tirador_lejano_medalla,cabeceador_pts,cabeceador_medalla,recuperador_puro_pts,recuperador_puro_medalla,presionador_alto_pts,presionador_alto_medalla,definidor_pts,definidor_medalla,creador_pts,creador_medalla,desequilibrante_pts,desequilibrante_medalla,muro_pts,muro_medalla,motor_pts,motor_medalla,goles,pases_clave,regates_exitosos,aereos_ganados,tiros_fuera,goles_fuera,acierto_fuera_pct,goles_cabeza,aereos_pct,aereos_total,recuperaciones_total,recuperaciones_baja,recuperaciones_alto
9diy99jd1loxs9x69lp8x5m95,F. Pardo,2340,0,,63,PLATA,57,PLATA,20,,30,BRONCE,0,,13,,70,PLATA,67,PLATA,4,8,12,113,2,0,0.0,1,73.4,154,176,162,2
6vl8ypgiztmjz27li1kjg082d,M. Torres,2093,0,,33,BRONCE,37,BRONCE,20,,0,,0,,0,,37,BRONCE,37,BRONCE,1,3,9,54,2,0,0.0,1,54.0,100,155,134,3
2lqwu9wsnguofkipcgca0btka,J. Ontaneda,2804,0,,57,PLATA,47,BRONCE,10,,10,,0,,0,,60,PLATA,43,BRONCE,4,8,9,73,0,0,0.0,2,64.0,114,181,155,3
a487dmcrtdak032ab6slynlxx,Y. Cheberko,2316,0,,0,,33,BRONCE,0,,0,,0,,0,,23,,10,,0,11,9,31,4,0,0.0,0,44.3,70,117,97,7
51xhmu9q14hlqc1zei83dum6t,G. Fernández,1697,0,,0,,60,PLATA,30,BRONCE,0,,20,,37,BRONCE,0,,100,ORO,0,24,23,14,6,0,0.0,0,46.7,30,197,152,4
4kgeobpizh8w482jg7hrpgnop,Elias,2971,23,,10,,10,,0,,0,,20,,23,,40,BRONCE,10,,1,19,17,74,10,0,0.0,0,53.2,139,107,82,4
cqa20tk6yzfxh21e85rc0bm51,A. Gutman,3140,13,,20,,0,,0,,10,,40,BRONCE,0,,27,,0,,3,28,8,48,12,1,8.3,0,57.1,84,153,125,10
9ydsdzboc7zbdq7vpxx63alm,F. Surman,3081,0,,30,BRONCE,10,,0,,0,,0,,0,,50,PLATA,10,,0,3,0,71,0,0,0.0,0,62.8,113,102,93,1
a5iesdrky1ux0s099cfun6ycq,E. Segura,3127,0,,63,PLATA,23,,0,,0,,0,,0,,60,PLATA,10,,1,3,8,107,0,0,0.0,1,65.2,164,145,132,1
i5f7g3p3e0i6zwc2bc9eglw5,Á. Zendejas,1466,50,PLATA,10,,13,,53,PLATA,40,BRONCE,67,PLATA,60,PLATA,13,,37,BRONCE,11,39,38,20,27,3,11.1,0,43.5,46,126,78,12
